Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Giathieko Primary School,2026-01-14,Rice and Beans,180,18,163,17,0,2,5,1,0,10,0,,185,0,,"14 Jan 2026, 12:40:34","14 Jan 2026, 13:20:40",,Lunch was delicious,Queue management was smooth,Failed taps increased from 1 to 5 as many parents are forgetting to top up on time.,Successful taps reduced from 185 to 180 as a result of many accumulated failed taps.,@SL PCEA Kagema Comprehensive school
,Githiga Primary,2026-01-14,Whiterice and beans,390,394,357,37,0,3,22,4,4,00,0,,395,00,,"14 Jan 2026, 12:30:20","14 Jan 2026, 13:55:28",,Food was sweet  and delicious.,Line Management was smooth,Failed taps decreased by 1 from 23,Actual  meals increased  from  380 to 394.turn out increased.,@Nicholas-SC - Githiga Comprehensive
,Catholic Archdiocese Of Nairobi Gataka Primary & Junior Secondary,2026-01-14,Rice and Beans,285,289,275,14,0,2,7,0,0,0,0,,295,0,,"14 Jan 2026, 12:36:49","14 Jan 2026, 13:34:57",,The food was delicious,The queue was well managed by the school coordinator,"The number of failed taps rose from 5 to 7, we reminded kids to request their parents to top up.","The number of actual meals rose from 283 to 289, parents made timely payments for their kids.",@Catholic archdiocese of Nairobi Gataka primary school and Junior secondary
,Kigumo Primary,2026-01-14,White Rice and Beans,180,186,167,19,0,2,10,0,0,0,0,,185,0,,"14 Jan 2026, 12:40:46","14 Jan 2026, 13:19:52",,food was delicious,line management was orderly assisted by the teacher on duty.,We had 10 failed taps compared to yesterday where we had 13.This decrease was led by parents topping up their accounts.,We had 183 actual meals served compared to yesterday where we had 174.This increase was led by kids reporting in good number.,@S C PCEA Kigumo Comprehensive School
,Gitiha Secondary School,2026-01-14,white rice and beans stew,130,126,126,0,0,2,10,3,2,2,3,,130,0,,"14 Jan 2026, 12:40:28","14 Jan 2026, 13:05:50",,the food was enough,the queue was smooth and orderly,failed taps had increased,successful taps had increased from the previous day,@Kang'ethe Dennis
,Gatitu Primary,2026-01-14,RICE AND BEANS,385,377,341,36,1,3,10,0,0,1,1,,380,1,,"14 Jan 2026, 12:10:38","14 Jan 2026, 13:30:45",,Food today was well cooked.,Students moved in order from class to class..,Failed taps have increased by 2 from 8 to 10 resulted by parents not topping up on time or not at all.,Successful taps decreased from 379 to 377...few students never availed for tapping.,@Wambui ikonya SC Gatitu comprehensive
,Githioro Primary School,2026-01-14,Rice and Beans,325,335,311,24,0,2,5,2,6,0,0,,335,0,,"14 Jan 2026, 12:44:26","14 Jan 2026, 13:36:38",,Food was appetising,Line management was organised assisted by tod,"Failed taps reduced from yesterday’s 7 to 5 today, some parents remembered to top up their accounts.","Successful taps increased from yesterday’s 322 to 335 today, kids are turning up well to school.",@GITHIORO COMPREHENSIVE
,GATHAITHI PRIMARY,2026-01-14,White Rice and Beans,465,472,429,43,1,3,9,2,3,00,0,,480,3,,"14 Jan 2026, 12:30:47","14 Jan 2026, 13:30:50",,Food was great,Teacher on duty managed the queue,Failed taps dropped from 13 to 9,Actual meals increased from 457 to 472.,@P.C.E.A Gathaithi primary and Junior secondary school Jane Wanjiru
,Kiambururu Secondary School,2026-01-14,Rice with Beans,190,191,191,0,0,3,1,6,4,0,0,,200,0,,"14 Jan 2026, 13:20:33","14 Jan 2026, 13:50:59",,The food was delicious students enjoyed the meal,line was well managed,failed taps today was 1 compared to previous which was 3 most of the parents to top up,"successful taps 191 an increase from previous which was 178, students are continuing report to school",@Salome-kiambururu secondary school
,Gathiruini Primary School,2026-01-14,Rice and Beans,250,240,212,28,0,2,2,0,3,2,3,,245,0,,"14 Jan 2026, 12:30:12","14 Jan 2026, 13:30:18",,Lunch was delicious,Line management was good with help of teacher on duty,Failed taps today were 2 a decrease from 3 this is because parents topped up their accounts on time,Actual meal served today were 240 same as yesterday this is because parents topped up their accounts on time,@Catherine Wanjiru
