Kitchen,School,Date,Menu,Projected_Kids,Actual_Meals_Served,Successful_Taps,F4E_Supported_Kids,Teachers,Staff_Meals,Failed_Taps,New_Registrations,New_Tags_Replaced,Rice_Remaining,B_W_G_Remaining,Missed_Food,Next_Day_Projection_Students,Next_Day_Projection_Teachers,Next_Day_Projection_Staff,Start_Taping,Stop_Taping,Projection_Comment,Comment_1,Comment_2,Comment_3,Comment_4,Reported_By
,Kiawaiguru Primary School,2026-01-30,Rice and Beans,230,224,205,19,2,2,4,0,0,0,0,,230,2,,"30 Jan 2026, 12:40:14","30 Jan 2026, 13:30:40",,The food was delicious and the pupils enjoyed the food.,The queue was orderly managed by the teacher on duty.,The failed taps for today were 4 and yesterday's Failed taps was 1.The failed taps increased due to parents not topping up their accounts.,Successful taps for today were 205 and yesterday's successful taps were 207.There was a decrease in successful taps due to parents not topping up their accounts.,@Vanessa
,Gitiha Secondary School,2026-01-30,White rice and beans stew,150,144,144,0,0,2,7,0,0,0,0,,150,0,,"30 Jan 2026, 13:10:32","30 Jan 2026, 13:41:46",,Food was tasty,Queue was smooth,Increased failed taps compared to the previous day,The successful taps were constant,@Jecinta muthoni Gitonga
,Gikang'a Kageche Secondary School,2026-01-30,Rice and Beans,310,299,299,0,0,3,9,0,2,2,2,,330,0,,"30 Jan 2026, 13:10:04","30 Jan 2026, 13:45:09",,Food was delicious,Queue was smoothly managed by TOD,Today's failed taps was the same as yesterday which was 9,Today's successful taps decreased from 309 to 299....30 students went for games,@Pauline Gatimu
,Kiawairia Primary,2026-01-30,Rice and beans,140,138,123,15,2,2,7,0,0,1,1,,140,2,,"30 Jan 2026, 12:00:10","30 Jan 2026, 13:30:16",,Food was delicious and hot,Lines were neat and organized,We had 7 failed taps an increase from 5 some parents didn't top up on time,We had 123 successful taps a decrease from 130 turn was low,@Mary kimani SC kiawairia comprehensive school
,Githioro Primary School,2026-01-30,Rice and Beans,335,343,315,28,0,2,7,0,3,0,0,,345,0,,"30 Jan 2026, 12:30:33","30 Jan 2026, 13:35:37",,The food was appetising,Line management was organised assisted by tod,"Failed taps increased from 5 to 7, some parents forgot to top up their accounts on time","Successful taps decreased from 347 to  343, this was due to increased number of failed taps",@GITHIORO COMPREHENSIVE
,Ihiga Primary,2026-01-30,Rice and Beans,160,157,143,14,0,2,4,0,3,2,0,,160,0,,"30 Jan 2026, 12:40:28","30 Jan 2026, 13:15:34",,Food was Enough,Queues were manageable with assistance from teacher on duty.,Failed taps were 4. An increase from yesterday's 3.Parents didn't top up their accounts on time.,Successful taps were 157 a decrease from yesterday's which was 161.Today's turn up was lower than yesterday.,@Naomi SC-Ihiga Comprehensive
,Gatitu Primary,2026-01-30,RICE AND BEANS.,380,370,331,39,0,3,16,0,2,1,1,,380,1,,"30 Jan 2026, 12:15:57","30 Jan 2026, 14:05:04",,Food was delicious ..,Learners were well organized.,An increase from 8 to 16...some accounts had low to no funds at all.,Successful taps also decreased by 4 from 374 to 370 due to accounts not being funded timely..,@Wambui ikonya SC Gatitu comprehensive
,Mukuyu Secondary School,2026-01-30,Rice and Beans,320,310,310,0,0,3,17,0,2,10,0,,330,0,,"30 Jan 2026, 12:40:35","30 Jan 2026, 13:20:00",,Food was hot and delicious,Queue was well managed,Failed taps increases from 16 to 17 parents didn't top up their account,Successful taps decreases from 320 to 310 some students didn't report to school today,@Mukuyu Secondary School
,PCEA Matuguta Secondary School,2026-01-30,White Rice and Beans,125,121,121,0,0,2,7,0,2,00,0,,125,00,,"30 Jan 2026, 13:30:16","30 Jan 2026, 13:45:23",,Food was hot and delicious the kids enjoyed,Queues were orderly and well managed by the help of the tod,Failed taps today were 07 lower than yesterday's 10,Successful taps today were 121 lower than the projected meals that were 125,@Njeri -Matuguta secondary school
,Kiambururu Secondary School,2026-01-30,Rice with beans,205,190,190,0,0,3,2,0,1,1,2,,205,0,,"30 Jan 2026, 13:15:59","30 Jan 2026, 13:30:25",,The food was delicious,Line management was smooth with the help of TOD,Failed taps today reduce to  2 compared to previous which was 4.,"Successful taps was 190 a decrease from  yesterday which was 204, some students did not report to school today.",@Salome-kiambururu secondary school
